text,true_label,predicted,confidence,text_length,length_bin,confidence_bin,error_type
"BOOM! Trump Drains Obama Swamp…Mandates All Ambassadors Vacate Positions “Without Exceptions” By Inauguration Day President-elect Donald J. Trump s transition staff has issued a blanket edict requiring politically appointed ambassadors to leave their overseas posts by Inauguration Day, according to several American diplomats familiar with the plan, breaking with decades of precedent by declining to provide even the briefest of grace periods.The mandate   issued  without exceptions,  according to a terse State Department cable sent on Dec. 23, diplomats who saw it said   threatens to leave the United States without Senate-confirmed envoys for months in critical nations like Germany, Canada and Britain. In the past, administrations of both parties have often granted extensions on a case-by-case basis to allow a handful of ambassadors, particularly those with school-age children, to remain in place for weeks or months.Mr. Trump, by contrast, has taken a hard line against leaving any of President Obama s political appointees in place as he prepares to take office on Jan. 20 with a mission of dismantling many of his predecessor s signature foreign and domestic policy achievements.  Political  ambassadors, many of them major donors who are nominated by virtue of close ties with the president, almost always leave at the end of his term; ambassadors who are career diplomats often remain in their posts.A senior Trump transition official said there was no ill will in the move, describing it as a simple matter of ensuring that Mr. Obama s overseas appointees leave the government on schedule, just as thousands of political aides at the White House and in federal agencies must do. The official, who spoke on the condition of anonymity about internal deliberations, said the ambassadors should not be surprised about being held to a hard end date.   NYT s",1,0,0.2544946923779573,1870,long (500-2K),uncertain (<0.4),False Negative (Fake->Real)
"Factbox: Compare and contrast - Trump's tweets vs private comments to CEOs WASHINGTON (Reuters) - U.S. President Donald Trump has gone on Twitter to lambaste a number of companies for cost over-runs, or high prices, or foreign manufacturing. But Reuters interviews with executives and lobbyists who met with him at the White House reveal a Trump who is very different from his uncompromising and demanding @realDonaldTrump Twitter handle. Here are some of the examples to illustrate the difference in tone: What he tweeted about automakers: Jan. 3 - General Motors is sending Mexican made model of Chevy Cruze to U.S. car dealers-tax free across border. Make in U.S.A. or pay big border tax! Jan. 5 - Toyota Motor said will build a new plant in Baja, Mexico, to build Corolla cars for U.S. NO WAY! Build plant in U.S. or pay big border tax. What he told automakers at Jan. 24 White House meeting: “We’re reducing taxes very substantially and we’re reducing unnecessary regulations. We are going to make the process much more simple for the auto companies and for everybody else that wants to do business in the United States.” What he tweeted about manufacturers: Dec. 2 - Rexnord of Indiana is moving to Mexico and rather viciously firing all of its 300 workers. This is happening all over our country. No more! Dec 6 -  Boeing is building a brand new 747 Air Force One for future presidents, but costs are out of control, more than $4 billion. Cancel order! Dec. 12 - Lockheed Martin: The F-35 program and cost is out of control. Billions of dollars can and will be saved on military (and other) purchases after January 20th. What he told manufacturers at Jan. 23 White House meeting: “We’re going to be cutting regulation massively ... The problem with the regulation that we have right now is that you can’t do anything.” What he tweeted about drugmakers: March 7 - I am working on a new system where there will be competition in the Drug Industry. Pricing for the American people will come way down! What he told drugmakers on Jan. 31 White House meeting “We’re also gonna be streamlining the process, so that, from your standpoint, when you have a drug, you can actually get it approved if it works, instead of waiting for many, many years.” ",0,1,0.9929042994645785,2248,very long (2K+),confident (0.8+),False Positive (Real->Fake)
"REPORT: PRESIDENT TRUMP Is “Odds-On Favorite To Win Re-election” In 2020 Liberal heads explode in 5 4 3 2 1President Trump could win the White House again in 2020   which likely would send hostile political operatives and the disapproving news media into an epic meltdown. News flash: Get ready. Mr. Trump will likely win re-election, says one analyst.  President Trump did not ascend to the White House in the usual way; he broke with traditional campaign orthodoxy and tactics,  Ford O Connell, a political analyst and adjunct professor at the George Washington University Graduate School of Political Management, tells Inside the Beltway. While Trump s first six months in the White House have been marked by early stumbles, a healthy dose of palace intrigue and low approval numbers, history says Trump is in fact the odds-on favorite to win re-election in 2020, should he choose to run. Why? Because presidential incumbency has its privileges. Since 1900, 20 presidents have sought re-election. Of those, 15 won and five lost   that is, if you include Gerald Ford, who was never elected in the first place. Adds Mr. O Connell,  So how does President Trump avoid becoming the sixth president to be fired by the people in the last 120 years? Barring some unforeseen calamity or Dwayne  The Rock  Johnson becoming the Democratic presidential nominee, the fate of Trump s presidency will live and die with the state of the economy in the fall of 2020. To ensure that the electoral winds are favorable to Trump, his administration must deliver results by passing tax reform before the 2018 midterms, showing significant progress on other key campaign promises: securing America s borders, infrastructure, trade, conservative judicial appointees. He must also continue to instill in working-class voters in both the Rust Belt (Ohio, Pennsylvania, Iowa, Michigan, Wisconsin) and Sun Belt (Florida, North Carolina, Arizona) battleground states the belief that he is tirelessly fighting for them. If Trump does that, voters will forgive his impetuous ways and rehire him,  the professor concludes.For entire story: Washington Times ",1,0,0.3336107256973058,2128,very long (2K+),uncertain (<0.4),False Negative (Fake->Real)
"BREAKING: OBAMA-APPOINTED JUDGE ORDERS Vote Recount To Begin At Noon On Monday A federal judge has ordered Michigan election officials to begin a massive hand recount of 4.8 million ballots cast in the presidential election at noon Monday.U.S. District Judge Mark Goldsmith issued a ruling just after midnight Monday in favor of Green Party presidential candidate Jill Stein, who sought to let election officials bypass a two-business-day waiting period that would have delayed start of the recount until Wednesday morning.The manual recount process was scheduled to begin Wednesday as specified by state law, and in a rare Sunday hearing in federal court, Goldsmith questioned the harm posed by waiting.Stein s lawyer Mark Brewer argued the case was aimed at ensuring the integrity of Michigan s voting system and that the required waiting period violated Stein s rights to due process and equal protection. He pushed for the recount of 4.8 million ballots to start immediately, which he said would be Monday morning. There are questions raised throughout the country about the integrity of the election system,  Brewer told the judge in front of a courtroom filled with about two dozen people, including state Republican Party Chair Ronna Romney McDaniel.  It s not just rhetoric. The hearing ended Sunday afternoon, with a staffer for the judge saying Goldsmith would issue a written opinion but he did not give a timeline.The deadline to finalize the vote total for the Electoral College is Dec. 13. Chris Thomas, the state elections director, testified Sunday that he could not guarantee that the recount could be finished by that deadline, calling the task  doable but difficult.  Brewer called it  highly doubtful  that the state could finish by the deadline, and asserted the recount needed to start immediately.Read more: Detroit News",1,0,0.10366450967035787,1843,long (500-2K),uncertain (<0.4),False Negative (Fake->Real)
"Waiting for green cards, Indian visa-holders see hope in Trump review SAN FRANCISCO (Reuters) - When Gokul Gunasekaran was offered a full scholarship for a graduate program in electrical engineering at Stanford University, he saw it as the chance of a lifetime. He had grown up in Chennai, India, and had a solid job offer with a large oil company after getting his undergraduate degree. He came to America instead, got the Stanford degree and now works as an engineer at a data science startup in Silicon Valley. But for the past five years, he has been waiting for a green card that would give him full legal rights as a permanent resident. In the meantime, he is in a holding pattern on an H1-B visa, which permits him to live and work in the United States but does not allow him easily to switch jobs or start his own company. “It was a no-brainer when I came to this country, but now I’m kind of regretting taking that scholarship,” said Gunasekaran, 29, who is also vice president with a non-profit group called Immigration Voice that represents immigrants waiting for green cards.  Immigration Voice estimates there are some 1.5 million H1-B visa holders in the country waiting for green cards, many of whom are from India and have been waiting for more than a decade. Many of these immigrants welcomed President Donald Trump’s executive order this week to the federal departments overseeing the program to review it, a move that may lead to H1-B visas being awarded to the highest-paying, highest-skilled jobs rather than through a random lottery. Their hope is that merit-based H1-Bs might then lead to merit-based green cards. “I think less random is great,” said Guru Hariharan, the CEO and founder of Boomerang Commerce, an e-commerce startup. Hariharan, who was previously an executive at Amazon.com Inc and eBay Inc, spent 10 years waiting for his green card and started his own company as soon as he got it. Green cards can be a path to naturalization and Hariharan expects to become a U.S. citizen soon. H1-B visas are aimed at foreign nationals in occupations that generally require specialized knowledge, such as science, engineering or computer programming. The U.S. government uses a lottery to award 65,000 such visas yearly and randomly distributes another 20,000 to graduate student workers. The H1-B and the green card system are technically separate, but many immigrants from India see them as intimately connected. The number of green cards that can go to people born in each country is capped at a few percent of the total, without regard to how large or small the country’s population is. There is a big backlog of Indian-born people in the line, given the size of India’s population - 1.3 billion - and the number of its natives in the United States waiting for green cards. That leaves many of those immigrants stuck on H1-B visas while they wait, which they say makes them almost like “indentured servants,” said Gaurav Mehta, an H1-B holder who works in the financial industry.  Mehta has a U.S.-born son, but he could be forced to take his family back to India at any time if he loses his job and cannot find another quickly. “He’s never been to my country,” Mehta said of his son. “But we’ll have no choice if we have to go. Nobody likes to live in constant fear.”  The H1-B visa is tied to a specific employer, who must apply for the visa and sponsor the employee for a specific job laid out in the visa application. To switch employers, the visa holder must secure their paperwork from their current employer and find another employer willing to take over their visa. Some H1-B holders suspect that employers purposely seek out Indian immigrants because they know they will end up waiting for green cards and will be afraid to leave their employers. But changing the green card system away from country caps to a merit-based system would require an act of Congress. Some  executives also worry that allocating H1-Bs and green cards based on salary - while it would be done to counter the argument that immigrants undercut American workers - would hurt startups that cannot afford high wages. In the meantime, H1-B holders like Nitin Pachisia, founding partner of a venture capital firm called Unshackled Ventures, are taking more practical measures. His firm specializes in taking care of the legal paperwork so that H1-B holders can start their own companies, a process that is possible but tricky. Pachisia is hopeful that changes to the H1-B visa program could revive interest in making the entire system, from H1-B visas to green cards and eventual citizenship, more merit-based and focused on immigrants who are likely to start companies and create jobs. “If the purpose of our high-skilled immigration program is to bring in the most talented people, let’s use that as a lens. From that perspective, it’s a good thing we can focus on the most talented, and I’d say most entrepreneurial, people,” he said. (This version of the story has been refiled to add missing word “startup” in paragraph two) ",0,1,0.5856366480779328,5039,very long (2K+),borderline (0.4-0.6),False Positive (Real->Fake)
"Factbox: Who will Trump pick to lead the Federal Reserve? (Reuters) - U.S. President Donald Trump has interviewed several top prospects for the post of Chair of the Federal Reserve. A nomination could come within weeks as the term of current Chair Janet Yellen ends in February 2018. Yellen will meet with Trump about the job on Thursday. (For a graphic on the next chair of the Federal Reserve, click tmsnrt.rs/2yqJh2I) He faces a choice between two continuity candidates, Yellen and Governor Jerome Powell, and a clutch of outsiders, including Gary Cohn, currently his top economic advisor, former Fed Governor Kevin Warsh, and Stanford University economics professor John Taylor. Here are short profiles of the candidates: Gary Cohn, 57, Director of the National Economic Council Experience: Longtime Goldman Sachs employee and president and chief operating officer of the Wall Street bank from 2006 to 2017. Education: Bachelor’s degree in business, American University Policy positions: Cohn’s current job as director of the NEC has given him little reason to comment on monetary policy, but  he has worried in the past that the Fed has been “constrained” by the actions of other central banks trying to keep their currencies weak. In his own words: “If we woke up tomorrow and every central bank in the world raised their interest rates by (3 percent), the world would be a much better place.” Pros to candidacy:   A practitioner’s understanding of financial markets at a time the Fed is attempting to unwind its bond portfolio bought after the 2008 financial crisis  The trust of the White House and many congressional Republicans given Cohn’s high-profile role in the Trump administration Cons to candidacy:   No formal economics background at a time when the Fed leans ever more on econometric models to decipher mixed signals in inflation and employment data  A decades-long career at Goldman Sachs and a personal fortune worth at least $260 million, which could raise eyebrows when it comes to confirmation by the Senate, where members on both sides see the investment bank as a symbol of financial industry excess  Criticism of Trump in the wake of Charlottesville, Virginia, protests Jerome Powell, 64, Federal Reserve Governor Experience: Lawyer and investment banker; partner in private equity firm Carlyle Group from 1997-2005; Senior Treasury official under George H.W. Bush; Fed Governor since 2012 (appointed by President Obama) Education: Bachelor’s degree in politics, Princeton University; Law degree from Georgetown University Policy positions: Powell has never dissented while at the Fed, and in line with Yellen supports slowly raising interest rates as long as the economy continues growing and inflation is expected to rise. He advocates easing some aspects of the Dodd-Frank regulations and has discussed ways to revise the Volcker Rule. In his own words: “The Committee has been patient in raising rates, and that patience has paid dividends ... I would view it as appropriate to continue to gradually raise rates.” Pros to candidacy:   An uncontroversial pick for the position, could be the compromise who both replaces Yellen and provides continuity  Only Republican currently on the Board of Governors, has already helped guide the economy in its recovery and would likely get bipartisan support in Congress   Familiarity with markets and financial regulation may be considered a plus Cons to candidacy:   As a current Fed member identified with the more centrist wing of the Republican Party, may not provide enough of a change if Trump decides to replace Yellen   Expertise is less in formal economics and more in markets and financial regulation, which may seem too much of an overlap with the new vice chair for supervision, Randal Quarles John Taylor, 70, Senior fellow at Stanford University’s Hoover Institution Experience: Undersecretary of Treasury for international affairs in the George W. Bush administration from 2001 to 2005; member of Council of Economic Advisers under presidents Jimmy Carter and George H. W. Bush Education: PhD in economics, Stanford University Policy positions: Developer of the eponymous “Taylor Rule” for setting interest rates, Taylor feels the Fed should transition to a rules-based policy in order to make its decision-making “predictable-transparent-accountable.” In his own words: “It is very important to have a basic understanding of the monetary policy strategy. The FOMC should be required to adopt and explain its monetary strategy, and then compare that strategy with monetary policy rules that are out there in a transparent way.” Pros to candidacy:   A trained economist whose elegantly simple research in the 1990s transformed the debate over how central banks set rates  Support among key Capitol Hill Republicans who feel the Fed has too much discretion  Well known in central banking circles, even if his ideas are not universally supported Cons to candidacy:  A long-term member of the central banking and academic cliques Trump may want to disrupt  Advocacy of rule-based policy may land with a thud in an institution that thrives on consensus and judgment  Break with Yellen and current policy framework could disrupt markets if Taylor insists on broad reform Kevin Warsh, 47, Visiting Fellow at Stanford University’s Hoover Institution Experience: Fed governor from 2006 to 2011; economic adviser to President George W. Bush from 2002 to 2006; M&A lawyer at Morgan Stanley for seven years Education: Bachelor’s degree in public policy, Stanford University; Law degree from Harvard University Policy positions: Warsh feels the Fed should not try to fine-tune the economy and argues policymakers have too much discretion. He feels the Fed should aim for inflation between 1 and 2 percent, effectively lowering its inflation target. In his own words: “We should not accept the Fed’s newfound conviction that a very low neutral equilibrium real short-term interest rate (r*) is a fixed feature of future monetary policy ... The central bank and the academic community should engage in a fundamental rethinking of the Fed’s strategy, tools, governance, and communications.” Pros to candidacy:   Former banker and for several years former Fed Chair Ben Bernanke’s right-hand man on financial markets, has a familiarity with Wall Street   Wife Jane Lauder Warsh is a daughter of cosmetics magnate Ron Lauder, a longtime friend of Trump  Served on the president’s economic advisory council before it disbanded Cons to candidacy:   May be seen as too hawkish by a president who calls himself a “low interest rate person”   Not an academic economist like Yellen or Bernanke but has still maintained U.S. monetary policy needs a full makeover   Worried about inflation even as the 2008 financial crisis hit, and quit the Fed over its second round of bond-buying, a possible black mark against his judgment given the success of the “quantitative easing” program  Even while quitting over Fed bond buying, never dissented on FOMC decisions Janet Yellen, 71, Federal Reserve Chair Experience: Also served as a Fed governor, President of the San Francisco Fed, and the Fed’s vice chair from 2010 to 2014  Education: PhD in economics, Yale University Policy positions: Yellen steered the Fed towards “gradual” rate increases and a slow reduction of its balance sheet, dependent on evidence of a continued economic recovery. She argues that post-crisis financial regulation has made the economy more stable without sacrificing growth. In her own words: “My colleagues and I may have misjudged the strength of the labor market ... or even the fundamental forces driving inflation ... How should policy be formulated in the face of such significant uncertainties? In my view, it strengthens the case for a gradual pace of adjustments.” Pros to candidacy:   After a career in the Fed system and four years as its head, has earned the trust of markets and shown she can shift policy without major disruption   A growing economy, low unemployment, and strong stock markets make the case for continuity, while Trump has said publicly he feels she is doing a good job Cons to candidacy:   Could be seen as a Democratic holdover by a President who may want to put his own stamp on the Fed   Feels the core regulations approved after the financial crisis should remain intact, a possible friction with the administration’s deregulatory bent   Some Republican leaders want the Fed to have less discretion over monetary policy, an idea Yellen resists ",0,1,0.5052583768955909,8514,very long (2K+),borderline (0.4-0.6),False Positive (Real->Fake)
"SENATE PASSES USA FREEDOM ACT McConnell was shut down completely in this debate as all amendments he put forth were rejected including the McConnell-Burr Amendment.Congress approved sweeping changes Tuesday to surveillance laws enacted after the Sept. 11 attacks, eliminating the National Security Agency s disputed bulk phone-records collection program and replacing it with a more restrictive measure to keep the records in phone companies  hands.Two days after Congress let the phone-records collection and several other anti-terror programs expire, the Senate s 67-32 vote sent the legislation to President Barack Obama, who signed it Tuesday night. This legislation will strengthen civil liberty safeguards and provide greater public confidence in these programs,  Obama said in a statement. Officials said it could take at least several days to restart the collection.The legislation will revive most of the programs the Senate had allowed to lapse in a dizzying collision of presidential politics and national security policy. But the authorization will undergo major changes, the legacy of agency contractor Edward Snowden s explosive revelations two years ago about domestic spying by the government.In an unusual shifting of alliances, the legislation passed with the support of Obama and House Speaker John Boehner, R-Ohio, but over the strong opposition of Senate Majority Leader Mitch McConnell. McConnell failed to persuade the Senate to extend the current law unchanged, and came up short in a last-ditch effort Tuesday to amend the House version, as nearly a dozen of his own Republicans abandoned him in a series of votes. This is a step in the wrong direction,  a frustrated McConnell said on the Senate floor ahead of the Senate s final vote to approve the House version, dubbed the USA Freedom Act. He said the legislation  does not enhance the privacy protections of American citizens. And it surely undermines American security by taking one more tool form our warfighters at exactly the wrong time. The legislation remakes the most controversial aspect of the USA Patriot Act   the once-secret bulk collection program that allows the National Security Agency to sweep up Americans  phone records and comb through them for ties to international terrorists. Over six months the NSA would lose the power to collect and store those records, but the government still could gain court orders to obtain data connected to specific numbers from the phone companies, which typically store them for 18 months.It would also continue other post-9/11 surveillance provisions that lapsed Sunday night, and which are considered more effective than the phone-data collection program. These include the FBI s authority to gather business records in terrorism and espionage investigations and to more easily eavesdrop on suspects who are discarding cellphones to avoid surveillance.Read more: AP",1,0,0.012928625641110079,2899,very long (2K+),uncertain (<0.4),False Negative (Fake->Real)
"SPINELESS GOP PROVES MAJORITY Means Nothing …Senator Schumer Brags About Not Funding Border Wall: “Budget Deal Reflects Democrats’ Principles” Wow! Republicans had a chance to stand up to the Democrats and fight for the border wall, as well as other issues that got President Trump and many Republican members of Congress elected. The swamp monsters first attempt at backing our president and his efforts to make America Great Again however, proved to be an epic failure. Meanwhile, Democrats who are the minority party in both the House and Senate are gloating over the power they still wield over our spineless leadership in the GOP Top Capitol Hill negotiators reached an agreement on a huge $1 trillion-plus spending bill that avoids a government shutdown, aides said on Sunday.The deal means virtually all the day-to-day-operations of the federal government will be funded until September.It was a victory for Trump, who got an extra $15billion to strengthen the military and another $1.5billion to enhance border security.However, he lost out on the funding he needed for the US-Mexico-border wall, a promise that was one of the cornerstones of his presidential campaign.Details of the agreement were expected to be made public Sunday night, said aides to lawmakers involved in weeks of negotiations. The House and Senate had until midnight Friday to pass a measure to avert a government shutdown.  Daily Mail White House Budget Director Mick Mulvaney said earlier in April that the shutdown fight was  the first real test of whether or not the Democrats   specifically in the Senate   are interested in negotiating, interested in compromising. The White House last week dropped its demand for immediate funding for the border wall after Democrats said it would result in a government shutdown because they would not vote for any bill that included it. The White House also dropped its threat to stop paying federal subsidies to insurance companies that offer lower-cost coverage to low-income Americans. Trump had threatened to stop paying the subsidies to force Democrats to support legislation to replace the Affordable Care Act, better known as Obamacare.Here s a look at the trillion dollar budget that was passed by Republican majority Congress and Democrat minority.  We ve highlighted budget items where Democrats and RINO s in Congress came together to vote against promises President Trump made to voters who elected him.  Once those two major stumbling blocks to a deal were removed, negotiators had just a few remaining issues to resolve over the weekend.While Republicans hold majorities in the House and Senate, the GOP needs Democratic votes in both chambers to pass the funding bill. In the closely divided Senate, the GOP has a slim majority of 52 seats in a chamber where 60 votes are required to pass the legislation. In the House, Republican leaders need help from Democrats because some conservatives will oppose any bill that increases spending.Democrats used that leverage to get concessions from the White House on the border wall and Obamacare while also getting extra money for medical research and other domestic programs. At the same time, Democrats agreed to beef up defense and border security, allowing the White House to claim at least a partial victory.   USA Today",1,0,0.08642202959955593,3304,very long (2K+),uncertain (<0.4),False Negative (Fake->Real)
"Venezuelan crisis spawns boom in gambling CARACAS (Reuters) -  The Whale ,  The Dog  or  The Zebra ? Players line up beside a small kiosk in a poor neighborhood to choose animals in a lottery game that has become a craze in Venezuela even as the oil-rich country suffers a fourth year of brutal recession. It seems more and more Venezuelans are turning to gambling in their desperation to make ends meet amid the country s unprecedented economic crisis. Though more people lose than win overall, the illusion of a payday has become more alluring as Venezuelans endure the world s highest inflation, shortages of basics from flour to car batteries, and diminished real-term wages. Among multiple options from race courses to back-street betting parlors, the roulette-style  Los Animalitos  (or the Little Animals) is currently by far the most popular game on the street.   Most people I see playing the lottery are unemployed, trying to make a bit extra this way because the payouts are good,  said Veruska Torres, 26, a nurse who recently lost her job in a pharmacy and now plays Animalitos every day.  Torres often plays more than a dozen times daily at the kiosk in Catia, spending between 5,000-10,000 bolivars, but sometimes making up to 50,000 or 60,000 bolivars in winnings - more than a quarter of the monthly minimum wage.  When that happens, she splits the money between buying food and diapers for her baby boy, and re-investing in the lottery. The Animalitos game, whose results appear on YouTube at scheduled times, is hugely popular because it goes through various rounds, holding people s interest, and provides more chances to win than most traditional betting options.  The cheapest ticket costs just 100 bolivars - a quarter of a U.S. cent at the black market currency rate, and more than 10 times less than that at the official exchange level.  It helped me a lot,  said Eduardo Liendo, 63, of a timely win. He recently lost his house and lives in a car in Caracas  Propatria neighborhood, but had a successful punt on the Animalitos, choosing the dog figure after his own had died. There is no hard data on betting figures, and the government s betting regulator did not answer requests from Reuters for information. But those behind Venezuela s gambling businesses, run by a mixture of private companies and local regional authorities, said trade was booming, with lines longer and busier than ever - because of, not despite, the hard times.  In a crisis like the one we re going through, people drink and gamble more to escape from reality,  said psychologist Rosa Garcia from the rural state of Barinas.  The latest scarcity in Venezuela is cash - as authorities cannot produce enough notes to keep up with dizzying inflation - so many bars, shops and betting parlors have quickly switched from cash to electronic transactions to keep money flowing. That has hit the Caracas hippodrome, where cash is still king. But thousands still go there at weekends, pushing against fences in front of the sand track to cheer their horse on as salsa music booms in the background. (See reut.rs/2A2eOEB for a related photo essay)  ",0,1,0.5500128290086294,3140,very long (2K+),borderline (0.4-0.6),False Positive (Real->Fake)
"BREAKING NEWS: Reince Priebus Makes Early Return Home From Trump’s First Foreign Trip The White House confirmed to FOX Business that Priebus would be heading back to Washington D.C. after the stop in Saudi Arabia, part of the president s visit to the Middle East, and insisted this was always part of the administration s plan.Natalie Strom, assistant press secretary at the White House, told FOX Business,  It has always been planned for Reince to return to Washington following the Saudi Arabia portion of the trip. It s a big week in D.C. for the president s agenda with our budget release coming soon and discussions continuing on tax reform, so he s needed back at home for that. When asked which other officials would be coming home, Strom said,  Only a few senior administration officials are staying on for the whole trip, which is typical for these kinds of trips. They re attending the stops that most pertain to their responsibilities. Off the top of my head I know that Secretary [of State] Tillerson and General McMaster won t be on for the entirety. As FOX Business reported Friday, Priebus s position in the White House is once again in jeopardy as National Economic Council Director Gary Cohn and Office of Management and Budget Director Mick Mulvaney are a few of the candidates under consideration to replace him if the president decides to go that route, according to sources close to the situation.On Friday, the White House did not deny the possibility that Priebus could be replaced.While the administration may believe it s typical for some officials to stay and others to head home, according to experts outside the White House, it s unusual for a chief of staff to head home early on such an important trip.   FOX Business ",1,0,0.05094264803666679,1748,long (500-2K),uncertain (<0.4),False Negative (Fake->Real)
